"partid membru","alianta"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU COȘBUC"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU COȘBUC"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU COȘBUC"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU DETA"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU DETA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU DETA"
"PARTIDUL MIȘCAREA POPULARĂ","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC"
"PARTIDUL NAȚIONAL LIBERAL","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU DUMBRĂVIȚA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU DUMBRĂVIȚA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU DUMITRA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU DUMITRA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU DUMITRA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU DUMITRIȚA"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU FÂNTÂNELE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU FÂNTÂNELE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU FELDRU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU FELDRU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU FELDRU"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU FILIPEȘTII DE PĂDURE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU FILIPEȘTII DE PĂDURE"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU FLOREȘTI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU FLOREȘTI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU GALAȚII BISTRIȚEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU GALAȚII BISTRIȚEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU GALAȚII BISTRIȚEI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU GURA VITIOAREI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU GURA VITIOAREI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ILVA MARE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ILVA MARE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ILVA MICĂ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ILVA MICĂ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ILVA MICĂ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU JOSENII BÂRGĂULUI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU JOSENII BÂRGĂULUI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU JOSENII BÂRGĂULUI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU LECHINȚA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU LECHINȚA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU LECHINȚA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU LEȘU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU LEȘU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU LEȘU"
"PARTIDUL REPUBLICAN DIN ROMÂNIA","ALIANȚA PENTRU LIEBLING"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU LIEBLING"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU LIVEZILE"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU LIVEZILE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU LIVEZILE"
"PARTIDUL AGRICULTORILOR DIN ROMÂNIA","ALIANȚA PENTRU LUGAȘ"
"PARTIDUL ALTERNATIVA DREAPTĂ","ALIANȚA PENTRU LUGAȘ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU LUNCA ILVEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU LUNCA ILVEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU LUNCA ILVEI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MĂGURA ILVEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU MĂGURA ILVEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MĂGURA ILVEI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU MĂGURENI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MĂGURENI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MAIERU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU MAIERU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MAIERU"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MĂRIȘELU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU MĂRIȘELU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MĂRIȘELU"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MATEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU MATEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MATEI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MICEȘTII DE CÂMPIE"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU MICEȘTII DE CÂMPIE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MICEȘTII DE CÂMPIE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MILAȘ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU MILAȘ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MILAȘ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU MONOR"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU MONOR"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU NĂSĂUD"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU NĂSĂUD"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU NĂSĂUD"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU NEGRILEȘTI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU NEGRILEȘTI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU NEGRILEȘTI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU NIMIGEA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU NIMIGEA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU NIMIGEA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU NUȘENI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU NUȘENI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU NUȘENI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU PARVA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU PARVA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PARVA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU PETRU RAREȘ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU PETRU RAREȘ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PETRU RAREȘ"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU PLOPENI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PLOPENI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU PODENII NOI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PODENII NOI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU POIANA ILVEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU POIANA ILVEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU POIANA ILVEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU PRAHOVA"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU PRAHOVA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PRAHOVA"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU PREDEAL SĂRARI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PREDEAL SĂRARI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU PRUNDU BÂRGĂULUI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU PRUNDU BÂRGĂULUI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU PRUNDU BÂRGĂULUI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU RÂFOV"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU RÂFOV"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU REBRA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU REBRA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU REBRA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU REBRIȘOARA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU REBRIȘOARA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU RODNA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU RODNA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU RODNA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ROMULI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ROMULI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ROMULI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU RUNCU SALVEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU RUNCU SALVEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU RUNCU SALVEI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘAG"
"PARTIDUL REPUBLICAN DIN ROMÂNIA","ALIANȚA PENTRU ȘAG"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘAG"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SALVA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU SALVA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SALVA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SÂNANDREI"
"UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI","ALIANȚA PENTRU SÂNANDREI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘANȚ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ȘANȚ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘANȚ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SĂRMAȘU APS"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SĂRMAȘU APS"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU SCORȚENI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SCORȚENI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘIEU-MĂGHERUȘ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ȘIEU-MĂGHERUȘ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘIEU-MĂGHERUȘ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘIEU-ODORHEI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ȘIEU-ODORHEI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘIEU-ODORHEI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘIEU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ȘIEU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘIEU"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘIEUȚ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ȘIEUȚ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘIEUȚ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SILIVAȘU DE CÂMPIE"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU SILIVAȘU DE CÂMPIE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SILIVAȘU DE CÂMPIE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SÎNGEORZ-BĂI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU SÎNGEORZ-BĂI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SÎNGEORZ-BĂI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SÎNMIHAIU DE CÂMPIE"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU SÎNMIHAIU DE CÂMPIE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SÎNMIHAIU DE CÂMPIE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ȘINTEREAG"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ȘINTEREAG"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘINTEREAG"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU SPERMEZEU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU SPERMEZEU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU SPERMEZEU"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU ȘTEFEȘTI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ȘTEFEȘTI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU TALEA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU TALEA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU TÂRLIȘUA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU TÂRLIȘUA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU TÂRLIȘUA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU TEACA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU TEACA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU TEACA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU TELCIU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU TELCIU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU TELCIU"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU TIHA BÂRGĂULUI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU TIHA BÂRGĂULUI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU TIHA BÂRGĂULUI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU URIU"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU URIU"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU URIU"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU URMENIȘ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU URMENIȘ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU URMENIȘ"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU VĂLENII DE MUNTE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU VĂLENII DE MUNTE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU ZAGRA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ZAGRA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ZAGRA"
